year,ldv_vmt_bn_miles,commercial_light_truck_vmt_bn_miles,freight_truck_vmt_bn_miles,ldv_cafe_standard_mpg
2025,2843.0,91.0,341.0,42.62
2026,2864.0,92.0,343.0,47.12
2027,2889.0,93.0,345.0,47.23
2028,2907.0,94.0,347.0,47.26
2029,2925.0,95.0,350.0,48.03
2030,2944.0,96.0,353.0,48.9
2031,2965.0,97.0,356.0,49.68
2032,2986.0,98.0,356.0,50.57
2033,3004.0,99.0,358.0,50.35
2034,3020.0,100.0,361.0,50.41
2035,3036.0,101.0,364.0,50.4
2036,3052.0,102.0,367.0,50.41
2037,3072.0,103.0,370.0,50.37
2038,3091.0,105.0,373.0,50.3
2039,3107.0,106.0,377.0,50.18
2040,3122.0,107.0,380.0,50.11
2041,3132.0,108.0,383.0,50.09
2042,3142.0,109.0,386.0,50.05
2043,3148.0,110.0,388.0,50.0
2044,3155.0,110.0,391.0,49.98
2045,3161.0,111.0,394.0,49.96
2046,3167.0,111.0,398.0,49.92
2047,3171.0,112.0,402.0,49.95
2048,3175.0,113.0,406.0,49.93
2049,3178.0,113.0,409.0,49.9
2050,3180.0,114.0,412.0,49.91
