year,case,transportation_co2_mmt
2025,counterfactual_baseline,1837.0
2026,counterfactual_baseline,1843.0
2027,counterfactual_baseline,1832.0
2028,counterfactual_baseline,1813.0
2029,counterfactual_baseline,1792.0
2030,counterfactual_baseline,1771.0
2031,counterfactual_baseline,1738.0
2032,counterfactual_baseline,1688.0
2033,counterfactual_baseline,1645.0
2034,counterfactual_baseline,1609.0
2035,counterfactual_baseline,1577.0
2036,counterfactual_baseline,1545.0
2037,counterfactual_baseline,1516.0
2038,counterfactual_baseline,1488.0
2039,counterfactual_baseline,1455.0
2040,counterfactual_baseline,1434.0
2041,counterfactual_baseline,1415.0
2042,counterfactual_baseline,1397.0
2043,counterfactual_baseline,1384.0
2044,counterfactual_baseline,1370.0
2045,counterfactual_baseline,1361.0
2046,counterfactual_baseline,1354.0
2047,counterfactual_baseline,1349.0
2048,counterfactual_baseline,1343.0
2049,counterfactual_baseline,1338.0
2050,counterfactual_baseline,1334.0
2025,alternative_transportation,1837.0
2026,alternative_transportation,1842.0
2027,alternative_transportation,1833.0
2028,alternative_transportation,1817.0
2029,alternative_transportation,1803.0
2030,alternative_transportation,1794.0
2031,alternative_transportation,1776.0
2032,alternative_transportation,1757.0
2033,alternative_transportation,1741.0
2034,alternative_transportation,1734.0
2035,alternative_transportation,1728.0
2036,alternative_transportation,1719.0
2037,alternative_transportation,1711.0
2038,alternative_transportation,1703.0
2039,alternative_transportation,1695.0
2040,alternative_transportation,1690.0
2041,alternative_transportation,1685.0
2042,alternative_transportation,1679.0
2043,alternative_transportation,1676.0
2044,alternative_transportation,1673.0
2045,alternative_transportation,1672.0
2046,alternative_transportation,1669.0
2047,alternative_transportation,1668.0
2048,alternative_transportation,1664.0
2049,alternative_transportation,1658.0
2050,alternative_transportation,1655.0
